Bulk_2	X1_C01	X1_C02	X1_C03	X1_C08	X1_C15	X1_C17	X1_C18	X1_C19	X1_C22	X1_C23	X1_C27	X1_C29	X1_C30	X1_C31	X1_C34	X1_C37	X1_C38	X1_C40	X1_C41	X1_C42	X1_C49	X1_C51	X1_C61	X1_C65	X1_C67	X1_C75	X1_C81	X2_C03	X2_C05	X2_C06	X2_C07	X2_C10	X2_C14	X2_C15	X2_C16	X2_C18	X2_C19	X2_C21	X2_C22	X2_C23	X2_C25	X2_C27	X2_C29	X2_C34	X2_C42	X2_C49	X2_C51	X2_C53	X2_C55	X2_C56	X2_C57	X2_C59	X2_C63	X2_C64	X2_C67	X2_C69	X2_C70	X2_C71	X2_C72	X2_C73	X2_C74	X2_C75	X2_C79	X2_C86	X2_C87	X2_C95
1290	93.86	0	38.05	0	0	0	0	0	0	0	0	101.91	0	17.02	0	0	0	0	0	93.94	0	4.9	334.96	3.37	175.18	11.75	0	0	188.34	0	0	7.01	77.94	0	0	0	0	529.66	0	102.46	0	0	16.21	0	0.41	26.19	16.72	0	193.94	0	357.66	0	0	31.06	291.45	517.95	0	0	204.23	0	0	0.31	0.93	0.9	0.96	9.23	0
129080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1293	100.72	0	68.13	0.47	0	73.77	0.29	0	0	0	0	114.52	0	1662.5	0	0	0	0.23	0	355.32	0	34.81	705.76	0	253	244.8	0	0	639.52	0	0	522.34	88.31	0.48	0.64	0	0	569.02	40.09	184.09	0	0	195.37	0	0.97	12.71	0	0	930.37	0	108.26	0	0	47.96	1.9	483.05	0.59	0	670.85	0	0.83	0	0.18	0.43	0	10.58	0.47
1295	104.15	0	0	0	0	7.89	0	0	0	0	0	0	0	435.95	0	0	0	0	0	0.83	0	0	0	0	575.73	0	0	0	9.61	0	0	0	0	0	0	0	0	0	0	0	0	0	79.14	0	0	2.63	97.45	0	215.4	0	263.26	0	14.56	0	28.41	27.66	0	0	32.58	0	0.61	0	0	0	0.21	0	0
1298	1.13	0	0	7.44	0	0	15.4	10.33	25.83	0	0	5.23	0	0	0	0	0	0	0	0	0	0	0	13.89	0	0	1.93	0	0	0	0	0	0	0	0	0	6.65	0	0	0	0	2.97	0	0	0	41.94	0	0	0	0	0	0	0	0	0	0	1.97	1.06	0	0	0	0	16.43	0	81.97	1.84	0
1299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300	36.2	0	0	0	0	165.24	0	0	0	0	0	0	0	31.01	0	0	0	0	0	0	0	0	0	0	0	172.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.15	0	0	0	0	0	0	0	58.93	0	0	0	0	0	0	0	0
1307	9.37	0	0	0	0	0	0	0	0	0	0	0	0	46.01	0	0	0	0	0	0	0	10.28	0	0	0	1	0	0	45.16	0	0	13.52	0	0	0	0	0	0	6.1	0	0	0	6.35	0	0	0	0	0	0	0	373.79	0	0	0	13.18	46.35	0	0	0	0	2.18	0	0	0	0	0	0
1311	5.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.03	0	0	0	0	0	0	0	0	0	87.04	0	0	0	0	0	0	0	0
1318	1.92	0	0	0	0	3.22	0	0	0	0	3.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.71	0	0	0	0	0	124.57	0	0	0	0	0	0	332.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0
1359	20.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1466	38.84	0	0	0	0	0	0	0	0	0	499.27	0	0	0	0	0	0	0	0	0	0	25.87	0	0	0	0	0	0	0	0	0	1454.65	9	0	37.09	0	0	0	0	84.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55	0	40.63	0	0	135.55	0
1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1513	154.41	0	0	0	0	0	0	0	0	0	0	0	0	68.85	0	0	0	0	0	875.41	58.48	116.65	34.35	0	199.85	78.76	37.2	0	0	105.3	0	0	0	0	0	0	0	1.1	0	0	0	0	4.56	0	10.18	0	81.43	0	165.38	0	52.8	0	0	0	2527.63	11.94	10.76	0	0	0	0	0	0	0	0	0	22.45
1520	34.05	0	0	0	0	0	26.84	0	0	0	0	0	0	0	0	1293.56	25.27	0	0	0	0	0	0	5.9	0	2.83	0	0	0	0	0	0	97.11	0	0	0	0	0	0	0	7.02	0	0	0	0	0	72.21	0	1.25	0	0	0	58.06	0	0	0	0	0	0	0	1.11	0	15.71	0	0	0	3.91
1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
